,name,port_id,lat_port,lon_port,iso2,h3_5
837,Joutseno,2472356,61.119467,28.467,fi,599280246407036927
838,Joutseno,2472356,61.119467,28.467,fi,599280243185811455
839,Joutseno,2472356,61.119467,28.467,fi,599280242112069631
76,KALAJOKI,74829,64.1831,23.8332,fi,599134066121375743
456,KALAJOKI,74829,64.1831,23.8332,fi,599134068268859391
457,KALAJOKI,74829,64.1831,23.8332,fi,599134072563826687
458,KALAJOKI,74829,64.1831,23.8332,fi,599134070416343039
459,KALAJOKI,74829,64.1831,23.8332,fi,599134071490084863
460,KALAJOKI,74829,64.1831,23.8332,fi,599134067195117567
461,KALAJOKI,74829,64.1831,23.8332,fi,599134069342601215
34,KALMAR,1249,56.66327,16.36777,se,599527229575135231
204,KALMAR,1249,56.66327,16.36777,se,599526906378846207
205,KALMAR,1249,56.66327,16.36777,se,599526982614515711
206,KALMAR,1249,56.66327,16.36777,se,599527233870102527
207,KALMAR,1249,56.66327,16.36777,se,599527227427651583
208,KALMAR,1249,56.66327,16.36777,se,599527230648877055
209,KALMAR,1249,56.66327,16.36777,se,599526902083878911
35,KANTVIK,8412,60.08324,24.395,fi,599130023483408383
210,KANTVIK,8412,60.08324,24.395,fi,599130188839649279
211,KANTVIK,8412,60.08324,24.395,fi,599130035294568447
212,KANTVIK,8412,60.08324,24.395,fi,599130020262182911
213,KANTVIK,8412,60.08324,24.395,fi,599130021335924735
214,KANTVIK,8412,60.08324,24.395,fi,599130187765907455
215,KANTVIK,8412,60.08324,24.395,fi,599130022409666559
127,KAPELLSKÄR,98120,59.71787,19.06685,se,599128471926472703
762,KAPELLSKÄR,98120,59.71787,19.06685,se,599128460115312639
763,KAPELLSKÄR,98120,59.71787,19.06685,se,599128427903057919
764,KAPELLSKÄR,98120,59.71787,19.06685,se,599128457967828991
765,KAPELLSKÄR,98120,59.71787,19.06685,se,599128469778989055
766,KAPELLSKÄR,98120,59.71787,19.06685,se,599128467631505407
767,KAPELLSKÄR,98120,59.71787,19.06685,se,599128465484021759
36,KARLSBORG,4559,65.912,23.282059,se,599133109417410559
216,KARLSBORG,4559,65.912,23.282059,se,599132736828997631
217,KARLSBORG,4559,65.912,23.282059,se,599133108343668735
218,KARLSBORG,4559,65.912,23.282059,se,599133141629665279
219,KARLSBORG,4559,65.912,23.282059,se,599132741123964927
220,KARLSBORG,4559,65.912,23.282059,se,599133105122443263
221,KARLSBORG,4559,65.912,23.282059,se,599133104048701439
37,KARLSHAMN,839,56.1658,14.86701,se,599526879535300607
222,KARLSHAMN,839,56.1658,14.86701,se,599526880609042431
223,KARLSHAMN,839,56.1658,14.86701,se,599526881682784255
224,KARLSHAMN,839,56.1658,14.86701,se,599526911747555327
225,KARLSHAMN,839,56.1658,14.86701,se,599526912821297151
226,KARLSHAMN,839,56.1658,14.86701,se,599527280041000959
227,KARLSHAMN,839,56.1658,14.86701,se,599526875240333311
38,KARLSKRONA,532,56.1685,15.59832,se,599526861281689599
228,KARLSKRONA,532,56.1685,15.59832,se,599526889198977023
229,KARLSKRONA,532,56.1685,15.59832,se,599526873092849663
230,KARLSKRONA,532,56.1685,15.59832,se,599526858060464127
231,KARLSKRONA,532,56.1685,15.59832,se,599526859134205951
232,KARLSKRONA,532,56.1685,15.59832,se,599526888125235199
233,KARLSKRONA,532,56.1685,15.59832,se,599526860207947775
39,KARLSTAD,129,59.36709,13.54001,se,599131928301404159
234,KARLSTAD,129,59.36709,13.54001,se,599131940112564223
235,KARLSTAD,129,59.36709,13.54001,se,599131942260047871
236,KARLSTAD,129,59.36709,13.54001,se,599131932596371455
237,KARLSTAD,129,59.36709,13.54001,se,599131972324818943
238,KARLSTAD,129,59.36709,13.54001,se,599131927227662335
239,KARLSTAD,129,59.36709,13.54001,se,599131930448887807
40,KASKINEN,423,62.38359,21.217,fi,599129198849687551
240,KASKINEN,423,62.38359,21.217,fi,599128883169591295
241,KASKINEN,423,62.38359,21.217,fi,599129210660847615
242,KASKINEN,423,62.38359,21.217,fi,599129195628462079
243,KASKINEN,423,62.38359,21.217,fi,599129196702203903
244,KASKINEN,423,62.38359,21.217,fi,599128882095849471
245,KASKINEN,423,62.38359,21.217,fi,599129197775945727
41,KEMI,591,65.7343,24.566669,fi,599132858161823743
246,KEMI,591,65.7343,24.566669,fi,599132825949569023
247,KEMI,591,65.7343,24.566669,fi,599132869972983807
248,KEMI,591,65.7343,24.566669,fi,599132854940598271
249,KEMI,591,65.7343,24.566669,fi,599132856014340095
250,KEMI,591,65.7343,24.566669,fi,599132824875827199
251,KEMI,591,65.7343,24.566669,fi,599132857088081919
42,KIEL,111,54.3164,10.08312,de,599524528040706047
252,KIEL,111,54.3164,10.08312,de,599524576359088127
253,KIEL,111,54.3164,10.08312,de,599524544146833407
254,KIEL,111,54.3164,10.08312,de,599524574211604479
255,KIEL,111,54.3164,10.08312,de,599524525893222399
256,KIEL,111,54.3164,10.08312,de,599524523745738751
257,KIEL,111,54.3164,10.08312,de,599524521598255103
43,KLAIPEDA,9493,55.7176,21.13405,lt,599531932564324351
258,KLAIPEDA,9493,55.7176,21.13405,lt,599531852033687551
259,KLAIPEDA,9493,55.7176,21.13405,lt,599531819821432831
260,KLAIPEDA,9493,55.7176,21.13405,lt,599531849886203903
261,KLAIPEDA,9493,55.7176,21.13405,lt,599531930416840703
262,KLAIPEDA,9493,55.7176,21.13405,lt,599531928269357055
