,name,port_id,lat_port,lon_port,iso2,area,h3_5,h3_5_int
134,HANKO/HANGÖ,89742,59.81432,22.967483,fi,baltic,850898b3fffffff,599129977312509951
135,HANKO/HANGÖ,89742,59.81432,22.967483,fi,baltic,850898affffffff,599129977312509951
136,HANKO/HANGÖ,89742,59.81432,22.967483,fi,baltic,850898a7fffffff,599129977312509951
137,HANKO/HANGÖ,89742,59.81432,22.967483,fi,baltic,850898b7fffffff,599129977312509951
23,HARAHOLMEN,984721,65.2330923,21.6350012,se,baltic,8508f163fffffff,599136076166070271
138,HARAHOLMEN,984721,65.2330923,21.6350012,se,baltic,8508f16bfffffff,599136076166070271
139,HARAHOLMEN,984721,65.2330923,21.6350012,se,baltic,8508f177fffffff,599136076166070271
140,HARAHOLMEN,984721,65.2330923,21.6350012,se,baltic,8508f167fffffff,599136076166070271
141,HARAHOLMEN,984721,65.2330923,21.6350012,se,baltic,8508f17bfffffff,599136076166070271
142,HARAHOLMEN,984721,65.2330923,21.6350012,se,baltic,8508f16ffffffff,599136076166070271
143,HARAHOLMEN,984721,65.2330923,21.6350012,se,baltic,8508f173fffffff,599136076166070271
24,HARGSHAMN,10560147,60.166665,18.48354,se,baltic,8508800ffffffff,599128288316620799
144,HARGSHAMN,10560147,60.166665,18.48354,se,baltic,8508803bfffffff,599128288316620799
145,HARGSHAMN,10560147,60.166665,18.48354,se,baltic,85088073fffffff,599128288316620799
146,HARGSHAMN,10560147,60.166665,18.48354,se,baltic,85088077fffffff,599128288316620799
147,HARGSHAMN,10560147,60.166665,18.48354,se,baltic,8508800bfffffff,599128288316620799
148,HARGSHAMN,10560147,60.166665,18.48354,se,baltic,85088007fffffff,599128288316620799
149,HARGSHAMN,10560147,60.166665,18.48354,se,baltic,85088003fffffff,599128288316620799
25,HELSINGBORG,87213,56.0542,12.69432,se,baltic,851f2327fffffff,599526524126756863
150,HELSINGBORG,87213,56.0542,12.69432,se,baltic,851f2e5bfffffff,599526524126756863
151,HELSINGBORG,87213,56.0542,12.69432,se,baltic,851f2e53fffffff,599526524126756863
152,HELSINGBORG,87213,56.0542,12.69432,se,baltic,851f2337fffffff,599526524126756863
153,HELSINGBORG,87213,56.0542,12.69432,se,baltic,851f2ecbfffffff,599526524126756863
154,HELSINGBORG,87213,56.0542,12.69432,se,baltic,851f232ffffffff,599526524126756863
155,HELSINGBORG,87213,56.0542,12.69432,se,baltic,851f2323fffffff,599526524126756863
26,HELSINGÖR,91321,56.0324,12.55769,dk,baltic,851f2323fffffff,599526523053015039
156,HELSINGÖR,91321,56.0324,12.55769,dk,baltic,851f232bfffffff,599526523053015039
157,HELSINGÖR,91321,56.0324,12.55769,dk,baltic,851f2327fffffff,599526523053015039
158,HELSINGÖR,91321,56.0324,12.55769,dk,baltic,851f2333fffffff,599526523053015039
159,HELSINGÖR,91321,56.0324,12.55769,dk,baltic,851f2337fffffff,599526523053015039
160,HELSINGÖR,91321,56.0324,12.55769,dk,baltic,851f233bfffffff,599526523053015039
161,HELSINGÖR,91321,56.0324,12.55769,dk,baltic,851f232ffffffff,599526523053015039
27,HELSINKI/HELSINGFORS,12,60.142,24.9512,fi,baltic,851126d3fffffff,599280485851463679
162,HELSINKI/HELSINGFORS,12,60.142,24.9512,fi,baltic,851126dbfffffff,599280485851463679
163,HELSINKI/HELSINGFORS,12,60.142,24.9512,fi,baltic,8508996bfffffff,599280485851463679
164,HELSINKI/HELSINGFORS,12,60.142,24.9512,fi,baltic,85089ba7fffffff,599280485851463679
165,HELSINKI/HELSINGFORS,12,60.142,24.9512,fi,baltic,8508996ffffffff,599280485851463679
166,HELSINKI/HELSINGFORS,12,60.142,24.9512,fi,baltic,851126d7fffffff,599280485851463679
167,HELSINKI/HELSINGFORS,12,60.142,24.9512,fi,baltic,851126c3fffffff,599280485851463679
28,HOLMSUND,82,63.666554,20.33049,se,baltic,8508f293fffffff,599136157770448895
168,HOLMSUND,82,63.666554,20.33049,se,baltic,8508f667fffffff,599136157770448895
169,HOLMSUND,82,63.666554,20.33049,se,baltic,8508f62bfffffff,599136157770448895
170,HOLMSUND,82,63.666554,20.33049,se,baltic,8508f283fffffff,599136157770448895
171,HOLMSUND,82,63.666554,20.33049,se,baltic,8508f62ffffffff,599136157770448895
172,HOLMSUND,82,63.666554,20.33049,se,baltic,8508f297fffffff,599136157770448895
173,HOLMSUND,82,63.666554,20.33049,se,baltic,8508f29bfffffff,599136157770448895
29,HUDIKSVALL,62,61.73324,17.116653,se,baltic,8508aa93fffffff,599131209968123903
